N,N_UNIQUE,DURATION_NS,DURATION_OVER_N_LOGN,ALGORITHM_TYPE,ALGORITHM_NAME
10,5,30040,1304,SORTING ALGORITHM,MERGE SORT
10,8,16927,735,SORTING ALGORITHM,MERGE SORT
10,10,16927,735,SORTING ALGORITHM,MERGE SORT
10,10,15020,652,SORTING ALGORITHM,MERGE SORT
10,10,15020,652,SORTING ALGORITHM,MERGE SORT
10,10,14066,610,SORTING ALGORITHM,MERGE SORT
10,10,14781,641,SORTING ALGORITHM,MERGE SORT
10,10,14781,641,SORTING ALGORITHM,MERGE SORT
11,8,17166,650,SORTING ALGORITHM,MERGE SORT
11,11,14781,560,SORTING ALGORITHM,MERGE SORT
11,11,17166,650,SORTING ALGORITHM,MERGE SORT
11,11,15974,605,SORTING ALGORITHM,MERGE SORT
11,11,15020,569,SORTING ALGORITHM,MERGE SORT
11,11,15974,605,SORTING ALGORITHM,MERGE SORT
11,11,15020,569,SORTING ALGORITHM,MERGE SORT
11,11,16927,641,SORTING ALGORITHM,MERGE SORT
12,8,23126,775,SORTING ALGORITHM,MERGE SORT
12,12,16927,567,SORTING ALGORITHM,MERGE SORT
12,11,22172,743,SORTING ALGORITHM,MERGE SORT
12,12,16212,543,SORTING ALGORITHM,MERGE SORT
12,12,17166,575,SORTING ALGORITHM,MERGE SORT
12,12,16927,567,SORTING ALGORITHM,MERGE SORT
12,12,16927,567,SORTING ALGORITHM,MERGE SORT
12,12,17166,575,SORTING ALGORITHM,MERGE SORT
14,10,22172,600,SORTING ALGORITHM,MERGE SORT
14,13,21934,593,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,21934,593,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
14,14,20980,567,SORTING ALGORITHM,MERGE SORT
15,10,25033,616,SORTING ALGORITHM,MERGE SORT
15,14,23603,581,SORTING ALGORITHM,MERGE SORT
15,15,22888,563,SORTING ALGORITHM,MERGE SORT
15,15,23126,569,SORTING ALGORITHM,MERGE SORT
15,15,24795,610,SORTING ALGORITHM,MERGE SORT
15,15,21934,539,SORTING ALGORITHM,MERGE SORT
15,15,21934,539,SORTING ALGORITHM,MERGE SORT
15,15,26941,663,SORTING ALGORITHM,MERGE SORT
17,10,27894,579,SORTING ALGORITHM,MERGE SORT
17,17,27894,579,SORTING ALGORITHM,MERGE SORT
17,17,29087,603,SORTING ALGORITHM,MERGE SORT
17,17,28133,584,SORTING ALGORITHM,MERGE SORT
17,17,29087,603,SORTING ALGORITHM,MERGE SORT
17,17,26226,544,SORTING ALGORITHM,MERGE SORT
17,17,28848,598,SORTING ALGORITHM,MERGE SORT
17,17,26702,554,SORTING ALGORITHM,MERGE SORT
